EXAME;MNEMONICO
ADENOSINA DEAMINASE (ADA), SANGUE;ADAS
PEPTIDIO NATRIURETICO TIPO B;BNP
EPSTEIN BARR VIRUS ANTICORPOS IGG;EBVG
EPSTEIN BARR VIRUS ANTICORPOS IGM;EBVM
HEPATITE B, ANTICORPO ANTI E (ANTI-HBE);AHBE
HEPATITE B, ANTIGENO E (HBEAG);HBEAG
HOMOCISTEINA;HOMOCIST
HTLV I E II ANTICORPOS;HTLV
PRO-CALCITONINA;PROCAL
TIREOGLOBULINA;TIREO
SOROLOGIA PARA CHAGAS;CHAGAS
ACIDO LACTICO - LACTATO;ALAS
ACIDO URICO, SANGUE;ACURICS
ALANINA AMINO TRANSFERASE (TGP);TGP
ALBUMINA, SANGUE;ALBUMS
AMILASE, SANGUE;AMILAS
ASPARTATO AMINO TRANSFERASE (TGO);TGO
BILIRRUBINA TOTAL E FRACOES, SANGUE;BILITS
CALCIO, SANGUE;CAS
CAPACIDADE TOTAL DE LIGACAO DE FERRO;CTLF
CLEARANCE DE CREATININA, URINA 12 HORAS;CCREAT12
CLEARANCE DE CREATININA, URINA 24 HORAS;CCREAT24
CLORO, SANGUE;CL
COLESTEROL HDL;HDL
COLESTEROL LDL;LDL
COLESTEROL TOTAL, LIQUIDOS;COLTL
COLESTEROL TOTAL, SANGUE;COLTS
CREATININA, SANGUE;CREATS
CREATINOFOSFOQUINASE (CPK);CPK
GLICEMIA;GLI1
GLICOSE 1/ 4 DOSAGENS;GLIC1/4
GLICOSE 1/5 DOSAGENS;GLIC1/5
GLICOSE 1/6 DOSAGENS;GLIC1/6
DESIDROGENASE LACTICA, SANGUE;LDH
FERRITINA;FERRIT
FERRO;FE
FOSFATASE ALCALINA, SANGUE;FALS
FOSFORO, SANGUE;P
GAMA GLUTAMIL TRANSFERASE;GGT
GLICOSE, PLASMA;GLICP
GLICOSE, SORO;GLICS
GLICOSE POS DEXTROSOL, SORO;GLICPDS
GLICOSE POS PRANDIAL, SORO;GLICPPS
LIPASE;LIPASE
MAGNESIO, SANGUE;MGS
POTASSIO, SANGUE;K
PROTEINA C REATIVA;PCR
PROTEINAS TOTAIS, LIQUOR;PROTTLQ
PROTEINAS TOTAIS, SANGUE;PROTTS
PROTEINAS TOTAIS E FRACOES;PROTF
SODIO, SANGUE;NA
TESTE DE TOLERANCIA A LACTOSE;TTL
TRIGLICERIDEOS, SANGUE;TRIG
UREIA, SANGUE;UREIA
UREIA POS DIALISE;UREPOS
UREIA PRE DIALISE;UREPRE
ACIDO FOLICO;ACFOLICO
ALFA-FETOPROTEINA;AFP
CA 125;CA125
CA 15.3;CA153
CA 19.9;CA19.9
CEA - ANTIGENO CARCINOEMBRIONARIO;CEA
CREATINOFOSFOQUINASE FRACAO MB;CKMB
COMPLEMENTO C3;C3
COMPLEMENTO C4;C4
CORTISOL;CORTISOL
CORTISOL SALIVAR 1 AMOSTRA;CORS1
CORTISOL SALIVAR 2 AMOSTRA;CORS2
CORTISOL SALIVAR 3 AMOSTRA;CORS3
INSULINA 1/3 DOSAGENS;CINS1
INSULINA 1/4 DOSAGENS;CCINS
INSULINA 1/5 DOSAGENS;CCINS1
INSULINA 1/6 DOSAGENS;INSC1
DEHIDROEPIANDROSTERONA SULFATO (SDHEA);SDHEA
ESTRADIOL;ESTRAD
FSH - HORMONIO FOLICULO ESTIMULANTE;FSH
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS - SHBG;SHBG
INSULINA;INSUL
INSULINA POS PRANDIAL;INSUPP
LH - HORMONIO LUTEINIZANTE;LH
PROGESTERONA;PROGEST
PROLACTINA;PRL
PSA - ANTIGENO PROSTATICO ESPECIFICO;PSAT
PSAL - ANTIGENO PROSTATICO ESPECIFICO LIVRE;PSAL
PARATORMONIO (PTH);PTH
SIROLIMUS;SIRO
T3 T - TRIIODOTIRONINA TOTAL;T3
T4 T- TIROXINA TOTAL;T4
T4 L - TIROXINA LIVRE;T4L
CORTISOL APOS ESTIMULO;CORC4
TESTOSTERONA LIVRE;TESTOL
TESTOSTERONA TOTAL;TESTOT
ANTICORPOS ANTI TIREOGLOBULINA;ACTIREO
ANTICORPOS ANTI TIREOPEROXIDASE (MICROSSOMAL);ANTITPO
TSH - HORMONIO TIREOESTIMULANTE;TSH
VITAMINA B12;B12
25-HIDROXIVITAMINA D (25VD3);VITD25
ANTIESTREPTOLISINA O (ASLO);ASLO
CITOMEGALOVIRUS ANTICORPOS IGG;CMVG
CITOMEGALOVIRUS ANTICORPOS IGM;CMVM
FATOR REUMATOIDE;FR
HEPATITE A ANTICORPO IGG;HAVG
HEPATITE A ANTICORPO IGM;HAVM
HEPATITE B ANTICORPO DE SUPERFICIE (ANTI-HBS);AHBS
HEPATITE B ANTICORPO IGM CONTRA ANTIGENO CENTRAL (ANTI-HBC IGM);AHBCM
HEPATITE B ANTICORPOS TOTAIS CONTRA ANTIGENO CENTRAL (ANTI-HBC);AHBC
HEPATITE B ANTIGENO DE SUPERFICIE (HBSAG);HBSAG
HEPATITE C ANTICORPOS (ANTI-HCV);AHCV
IMUNOGLOBULINA A, SANGUE;IGA
IMUNOGLOBULINA E, SANGUE;IGE
IMUNOGLOBULINA G, SANGUE;IGG
IMUNOGLOBULINA M, SANGUE;IGM
RUBEOLA ANTICORPOS IGG;RUBG
RUBEOLA ANTICORPOS IGM;RUBM
SIFILIS SOROLOGIA;SIFILIS
TOXOPLASMOSE ANTICORPOS IGG;TOXOG
TOXOPLASMOSE ANTICORPOS IGM;TOXOM
GLICOSE POS DEXTROSOL, PLASMA;GLICPDP
GLICOSE POS PRANDIAL, PLASMA;GLICPPP
COLESTEROL TOTAL E FRACOES, SANGUE;COLTFS
INSULINA POS DEXTROSOL;INSUPD
CORTISOL SALIVAR 4 AMOSTRA;CORS4
CORTISOL SALIVAR 5 AMOSTRA;CORS5
GLICOSE 2;GLI2
GLICOSE 3;GLI3
GLICOSE 4;GLI4
GLICOSE 5;GLI5
GLICOSE 6;GLI6
INSULINA 2;INS2
INSULINA 3;INS3
INSULINA 4;INS4
INSULINA 5;INS5
INSULINA 6;INS6
CC TROPONINA 1Ş AMOSTRA;TROPT1
CC TROPONINA 2Ş AMOSTRA;TROP2
GLICOSE 1/ 3 DOSAGENS;GLIC1/3
ACIDO LACTICO - LACTATO (SEPSE);LACTSEP
